类型,ID,X (km),Y (km)
配送中心,0,20.0,20.0
客户,1,0.74596198306597,6.12744724329777
客户,2,3.49201994126609,-2.09987360600907
客户,3,-2.7926750198023,-7.07070496926335
客户,4,-5.53320102964836,4.96886646380205
客户,5,-7.58608040355909,-3.95143072486639
客户,6,-4.66159864091412,-7.50935781984783
客户,7,-8.50508883064982,3.40488850459411
客户,8,2.31778195492727,3.18321046881879
客户,9,4.21284964345134,7.3870741887538
客户,10,-5.87115512935265,-5.56732049906664
客户,11,0.52184375622088,-2.3827701607119
客户,12,1.21755848144176,-1.34839674138507
客户,13,1.95141807684275,8.96083447171654
客户,14,-0.943660216384455,-8.4695515770045
客户,15,-1.70421069554743,-3.09774834490506
客户,16,14.450550964877,-8.76544029595808
客户,17,33.3988623061578,-4.21820637223678
客户,18,-5.54863118490896,12.227305144567
客户,19,-24.9556659958338,-20.1758424030975
客户,20,14.7106222334661,-12.5193153454242
客户,21,-11.7497074626045,35.0960881663225
客户,22,-8.83173297560488,-15.519725753721
客户,23,-13.8099790627706,-22.8050691954668
客户,24,-22.8798563925078,17.78788893064
客户,25,7.61494129207758,8.63190789686469
客户,26,-3.82996615152896,-27.8021080833649
客户,27,-0.948882982472617,-27.1587227180418
客户,28,22.0320436347622,-20.5978136037632
客户,29,-14.3588031854593,29.6057903264111
客户,30,16.0800764301466,7.04621833529546
客户,31,8.19840369741397,-9.60107559004272
客户,32,0.323325874270734,-37.5736956858047
客户,33,-8.66244194564893,-13.7461263895102
客户,34,13.090888292642,-10.9595442953867
客户,35,-0.079057338447202,-32.911273246347
客户,36,-27.7413684328977,15.6205382398009
客户,37,35.9798551608321,-8.83484643633667
客户,38,-19.8657669761891,8.2450917570308
客户,39,-14.7593829065892,-31.3415469493066
客户,40,-25.4478796473256,8.26587472638908
客户,41,-6.39184845369064,38.866308384005
客户,42,-7.97960536037818,-18.8049073592717
客户,43,18.151206181933,-13.637299694184
客户,44,21.590843242742,-11.0654463649764
客户,45,19.4247893328668,-17.0996049039402
客户,46,-3.94895297178467,-34.8007269144264
客户,47,10.5334022336896,17.621635259999
客户,48,5.11105840595424,10.9732978458469
客户,49,30.4883697362318,13.04953073461
客户,50,-19.4837889125212,-8.72892514392852
客户,51,-8.69400896691041,16.0355565510262
客户,52,-9.42229186702531,-18.809064939498
客户,53,16.6645391539304,-0.259417867939575
客户,54,-7.26957106603941,-30.7450666987351
客户,55,-30.4738708628108,0.417718230968227
客户,56,30.9734492073973,-24.4269327966448
客户,57,35.8691630924626,6.80594557114049
客户,58,29.2918813421379,-11.2363981231824
客户,59,-32.4103858046121,-2.65068011202597
客户,60,14.512163776104,29.3929978248616
客户,61,7.25597388908157,-33.7475199378438
客户,62,-14.3803349502555,-0.886084812651717
客户,63,-18.8423929163792,25.2549085872536
客户,64,29.553914624618,-15.7832896589862
客户,65,-13.5633988058324,35.7117550694904
客户,66,10.9979131123698,-14.3764159181384
客户,67,15.2856210779678,-28.0053274336459
客户,68,-6.89120148830592,36.8225598526382
客户,69,-10.2808334321244,29.5869615259404
客户,70,-12.9249626484284,-33.6033227158668
客户,71,-21.4142706428761,-0.0177783553764303
客户,72,3.34995943599543,31.3048933804785
客户,73,-19.079563342021,3.11570859008743
客户,74,-14.4202892616212,0.438615616091085
客户,75,17.8559660659719,-34.5128170174245
客户,76,6.17248271231953,-11.9739943806008
客户,77,-8.90340842896458,-33.0969833073601
客户,78,0.735897737284067,-11.817830191293
客户,79,6.48665021130649,-18.7369565714111
客户,80,-16.1633724807616,17.956024307724
客户,81,12.7485642351257,-13.9951114455965
客户,82,14.5060829317191,-14.9096560728536
客户,83,17.5691594969999,23.7073613386205
客户,84,-32.2887483255588,-6.33777906329211
客户,85,5.2885051532574,-10.610672970256
客户,86,22.2501851106262,3.36277307745693
客户,87,-5.07881748714319,-34.9821210394225
客户,88,10.1634114043108,23.9868549043046
客户,89,-25.5470740390242,-15.4194000905651
客户,90,-33.6060651581938,2.20467172657312
客户,91,-5.63196878175453,-30.3321609421464
客户,92,8.28368192850442,17.7735226449337
客户,93,0.746941949932783,-28.7424167151396
客户,94,21.835155243347,-28.7650388212301
客户,95,-6.22843376493341,-26.8257702440231
客户,96,-12.3209577741134,10.3641991683692
客户,97,7.2247850453069,-12.1653024302337
客户,98,-19.3415293006296,-35.0080570685232
